  1860  185.99   12.948  -54.90    4.0    1.1643    0.0626   15.11 9000.00 9000.00   32.18    0.3600 9000.00000 9000.00000 9000.000
  1870  184.18   13.011  -55.50    4.0    1.1266    0.0612   15.20 9000.00 9000.00   32.09    0.3500 9000.00000 9000.00000 9000.000
  1880  182.79   13.059  -55.80    4.0    1.1266    0.0616   15.27 9000.00 9000.00   32.09    0.3500 9000.00000 9000.00000 9000.000
  1890  181.57   13.101  -56.00    4.0    1.1642    0.0641   15.33 9000.00 9000.00   32.09    0.3600 9000.00000 9000.00000 9000.000
  1900  180.22   13.149  -56.50    4.0    1.2014    0.0667   15.40 9000.00 9000.00   32.00    0.3700 9000.00000 9000.00000 9000.000
  1910  179.03   13.191  -56.90    4.0    1.2391    0.0692   15.46 9000.00 9000.00   32.00    0.3800 9000.00000 9000.00000 9000.000
  1920  177.76   13.236  -57.30    4.0    1.2387    0.0697   15.53 9000.00 9000.00   31.90    0.3800 9000.00000 9000.00000 9000.000
  1930  176.46   13.282  -57.60    4.0    1.2763    0.0723   15.60 9000.00 9000.00   31.90    0.3900 9000.00000 9000.00000 9000.000
  1940  175.26   13.325  -58.00    5.0    1.5012    0.0857   15.68 9000.00 9000.00   31.81    0.4500 9000.00000 9000.00000 9000.000
  1950  173.96   13.372  -58.30    5.0    1.4262    0.0820   15.76 9000.00 9000.00   31.81    0.4300 9000.00000 9000.00000 9000.000
  1960  172.68   13.418  -58.70    5.0    1.3887    0.0804   15.85 9000.00 9000.00   31.81    0.4200 9000.00000 9000.00000 9000.000
  1970  171.47   13.462  -59.20    5.0    1.3884    0.0810   15.92 9000.00 9000.00   31.71    0.4200 9000.00000 9000.00000 9000.000
  1980  170.20   13.509  -59.50    5.0    1.3510    0.0794   16.00 9000.00 9000.00   31.72    0.4100 9000.00000 9000.00000 9000.000
  1990  168.93   13.556  -59.90    5.0    1.3131    0.0777   16.08 9000.00 9000.00   31.62    0.4000 9000.00000 9000.00000 9000.000
  2000  167.76   13.599  -60.20    5.0    1.2756    0.0760   16.15 9000.00 9000.00   31.62    0.3900 9000.00000 9000.00000 9000.000
  2010  166.52   13.645  -60.70    5.0    1.3503    0.0811   16.23 9000.00 9000.00   31.52    0.4100 9000.00000 9000.00000 9000.000
  2020  165.30   13.691  -61.10    6.0    1.3129    0.0794   16.31 9000.00 9000.00   31.53    0.4000 9000.00000 9000.00000 9000.000
  2030  164.15   13.734  -61.50    6.0    1.3130    0.0800   16.38 9000.00 9000.00   31.53    0.4000 9000.00000 9000.00000 9000.000
  2040  162.94   13.780  -61.90    6.0    1.3126    0.0806   16.46 9000.00 9000.00   31.43    0.4000 9000.00000 9000.00000 9000.000
  2050  161.62   13.830  -62.30    6.0    1.3127    0.0812   16.54 9000.00 9000.00   31.43    0.4000 9000.00000 9000.00000 9000.000
  2060  160.43   13.876  -62.80    6.0    1.2749    0.0795   16.62 9000.00 9000.00   31.34    0.3900 9000.00000 9000.00000 9000.000
  2070  159.04   13.929  -63.30    6.0    1.2374    0.0778   16.70 9000.00 9000.00   31.34    0.3800 9000.00000 9000.00000 9000.000
  2080  157.85   13.976  -63.70    6.0    1.2746    0.0807   16.78 9000.00 9000.00   31.24    0.3900 9000.00000 9000.00000 9000.000
  2090  156.78   14.017  -64.10    7.0    1.2747    0.0813   16.84 9000.00 9000.00   31.24    0.3900 9000.00000 9000.00000 9000.000
  2100  155.63   14.062  -64.30    7.0    1.2369    0.0795   16.92 9000.00 9000.00   31.15    0.3800 9000.00000 9000.00000 9000.000
  2110  154.47   14.108  -64.80    7.0    1.2370    0.0801   16.99 9000.00 9000.00   31.15    0.3800 9000.00000 9000.00000 9000.000
  2120  153.25   14.156  -65.20    7.0    1.2367    0.0807   17.07 9000.00 9000.00   31.05    0.3800 9000.00000 9000.00000 9000.000
  2130  152.11   14.202  -65.60    7.0    1.2368    0.0813   17.14 9000.00 9000.00   31.05    0.3800 9000.00000 9000.00000 9000.000
  2140  150.98   14.247  -65.90    7.0    1.1993    0.0794   17.21 9000.00 9000.00   31.06    0.3700 9000.00000 9000.00000 9000.000
  2150  149.88   14.291  -66.30    7.0    1.2365    0.0825   17.28 9000.00 9000.00   30.96    0.3800 9000.00000 9000.00000 9000.000
  2160  148.72   14.338  -66.70    7.0    1.1991    0.0806   17.36 9000.00 9000.00   30.96    0.3700 9000.00000 9000.00000 9000.000
  2170  147.66   14.381  -67.10    7.0    1.1988    0.0812   17.43 9000.00 9000.00   30.86    0.3700 9000.00000 9000.00000 9000.000
  2180  146.55   14.427  -67.50    7.0    1.1988    0.0818   17.50 9000.00 9000.00   30.87    0.3700 9000.00000 9000.00000 9000.000
  2190  145.47   14.471  -67.90    7.0    1.1986    0.0824   17.57 9000.00 9000.00   30.77    0.3700 9000.00000 9000.00000 9000.000
  2200  144.43   14.514  -68.30    8.0    1.1987    0.0830   17.64 9000.00 9000.00   30.77    0.3700 9000.00000 9000.00000 9000.000
  2210  143.38   14.558  -68.60    8.0    1.1983    0.0836   17.70 9000.00 9000.00   30.67    0.3700 9000.00000 9000.00000 9000.000
  2220  142.32   14.602  -69.00    9.0    1.1985    0.0842   17.77 9000.00 9000.00   30.68    0.3700 9000.00000 9000.00000 9000.000
  2230  141.37   14.642  -69.40    9.0    1.1981    0.0847   17.84 9000.00 9000.00   30.58    0.3700 9000.00000 9000.00000 9000.000
  2240  140.23   14.691  -69.80    9.0    1.1982    0.0854   17.91 9000.00 9000.00   30.58    0.3700 9000.00000 9000.00000 9000.000
  2250  139.18   14.735  -70.20    9.0    1.1979    0.0861   17.99 9000.00 9000.00   30.49    0.3700 9000.00000 9000.00000 9000.000
  2260  138.17   14.779  -70.40   10.0    1.1976    0.0867   18.05 9000.00 9000.00   30.39    0.3700 9000.00000 9000.00000 9000.000
  2270  137.09   14.825  -70.80   10.0    1.1603    0.0846   18.13 9000.00 9000.00   30.39    0.3600 9000.00000 9000.00000 9000.000
  2280  135.99   14.873  -71.30   10.0    1.1599    0.0853   18.20 9000.00 9000.00   30.29    0.3600 9000.00000 9000.00000 9000.000
  2290  134.91   14.920  -71.70   11.0    1.1601    0.0860   18.27 9000.00 9000.00   30.30    0.3600 9000.00000 9000.00000 9000.000
  2300  133.80   14.969  -72.10   11.0    1.1223    0.0839   18.35 9000.00 9000.00   30.20    0.3500 9000.00000 9000.00000 9000.000
  2310  132.56   15.023  -72.50   12.0    1.1224    0.0847   18.43 9000.00 9000.00   30.20    0.3500 9000.00000 9000.00000 9000.000
  2320  131.40   15.075  -73.00   12.0    1.1221    0.0854   18.51 9000.00 9000.00   30.11    0.3500 9000.00000 9000.00000 9000.000
  2330  130.18   15.129  -73.40   13.0    1.1222    0.0862   18.59 9000.00 9000.00   30.11    0.3500 9000.00000 9000.00000 9000.000
  2340  128.99   15.183  -74.00   13.0    1.1220    0.0870   18.67 9000.00 9000.00   30.01    0.3500 9000.00000 9000.00000 9000.000
  2350  127.89   15.233  -74.40   14.0    1.1220    0.0877   18.75 9000.00 9000.00   30.01    0.3500 9000.00000 9000.00000 9000.000
  2360  126.75   15.285  -74.60   14.0    1.0844    0.0856   18.83 9000.00 9000.00   29.92    0.3400 9000.00000 9000.00000 9000.000
  2370  125.66   15.335  -75.00   14.0    1.0845    0.0863   18.90 9000.00 9000.00   29.92    0.3400 9000.00000 9000.00000 9000.000
  2380  124.60   15.384  -75.30   15.0    1.1216    0.0900   18.97 9000.00 9000.00   29.82    0.3500 9000.00000 9000.00000 9000.000
  2390  123.55   15.433  -75.80   15.0    1.0843    0.0878   19.05 9000.00 9000.00   29.83    0.3400 9000.00000 9000.00000 9000.000
  2400  122.51   15.482  -76.20   15.0    1.0840    0.0885   19.12 9000.00 9000.00   29.73    0.3400 9000.00000 9000.00000 9000.000
  2410  121.50   15.530  -76.50   15.0    1.0837    0.0892   19.19 9000.00 9000.00   29.63    0.3400 9000.00000 9000.00000 9000.000
  2420  120.48   15.578  -77.00   15.0    1.0838    0.0900   19.26 9000.00 9000.00   29.64    0.3400 9000.00000 9000.00000 9000.000
  2430  119.47   15.626  -77.30   15.0    1.0462    0.0876   19.33 9000.00 9000.00   29.54    0.3300 9000.00000 9000.00000 9000.000
  2440  118.50   15.673  -77.70   15.0    1.0463    0.0883   19.40 9000.00 9000.00   29.54    0.3300 9000.00000 9000.00000 9000.000
  2450  117.50   15.722  -78.30   15.0    1.0087    0.0858   19.47 9000.00 9000.00   29.44    0.3200 9000.00000 9000.00000 9000.000
  2460  116.54   15.768  -78.70   15.0    1.0088    0.0866   19.54 9000.00 9000.00   29.45    0.3200 9000.00000 9000.00000 9000.000
  2470  115.68   15.810  -79.00   15.0    1.0086    0.0872   19.60 9000.00 9000.00   29.35    0.3200 9000.00000 9000.00000 9000.000
  2480  114.74   15.857  -79.20   15.0    1.0834    0.0944   19.66 9000.00 9000.00   29.35    0.3400 9000.00000 9000.00000 9000.000
  2490  113.83   15.902  -79.40   15.0    1.0457    0.0919   19.73 9000.00 9000.00   29.25    0.3300 9000.00000 9000.00000 9000.000
  2500  112.94   15.946  -79.70   15.0    1.0081    0.0893   19.79 9000.00 9000.00   29.16    0.3200 9000.00000 9000.00000 9000.000
  2510  112.00   15.994  -79.90   15.0    0.9708    0.0867   19.86 9000.00 9000.00   29.16    0.3100 9000.00000 9000.00000 9000.000
  2520  111.12   16.038  -79.90   15.0    1.0079    0.0907   19.92 9000.00 9000.00   29.06    0.3200 9000.00000 9000.00000 9000.000
  2530  110.08   16.091  -79.90   14.0    0.9708    0.0882   19.99 9000.00 9000.00   29.07    0.3100 9000.00000 9000.00000 9000.000
  2540  109.18   16.138  -80.10   14.0    0.8958    0.0820   20.05 9000.00 9000.00   28.97    0.2900 9000.00000 9000.00000 9000.000
  2550  108.35   16.181  -80.40   14.0    0.8585    0.0792   20.11 9000.00 9000.00   28.97    0.2800 9000.00000 9000.00000 9000.000
  2560  107.46   16.228  -80.60   14.0    0.8583    0.0799   20.16 9000.00 9000.00   28.88    0.2800 9000.00000 9000.00000 9000.000
  2570  106.58   16.274  -80.70   14.0    0.8955    0.0840   20.22 9000.00 9000.00   28.78    0.2900 9000.00000 9000.00000 9000.000
  2580  105.84   16.313  -80.50   14.0    0.9325    0.0881   20.27 9000.00 9000.00   28.68    0.3000 9000.00000 9000.00000 9000.000
  2590  104.95   16.361  -80.50   14.0    0.9699    0.0924   20.33 9000.00 9000.00   28.68    0.3100 9000.00000 9000.00000 9000.000
  2600  104.12   16.406  -79.80   14.0    0.9700    0.0932   20.39 9000.00 9000.00   28.69    0.3100 9000.00000 9000.00000 9000.000
  2610  103.36   16.447  -79.40   14.0    0.9698    0.0938   20.45 9000.00 9000.00   28.59    0.3100 9000.00000 9000.00000 9000.000
  2620  102.57   16.491  -79.30   14.0    0.9695    0.0945   20.51 9000.00 9000.00   28.49    0.3100 9000.00000 9000.00000 9000.000
  2630  101.79   16.534  -79.40   14.0    0.9696    0.0953   20.57 9000.00 9000.00   28.49    0.3100 9000.00000 9000.00000 9000.000
  2640  101.08   16.574  -79.60   14.0    0.9693    0.0959   20.62 9000.00 9000.00   28.40    0.3100 9000.00000 9000.00000 9000.000
  2650  100.27   16.619  -79.60   14.0    0.9691    0.0967   20.68 9000.00 9000.00   28.30    0.3100 9000.00000 9000.00000 9000.000
  2660   99.48   16.664  -80.00   13.0    0.9692    0.0974   20.74 9000.00 9000.00   28.30    0.3100 9000.00000 9000.00000 9000.000
  2670   98.74   16.706  -80.30   13.0    0.9689    0.0981   20.80 9000.00 9000.00   28.20    0.3100 9000.00000 9000.00000 9000.000
  2680   97.96   16.751  -80.50   13.0    0.9690    0.0989   20.86 9000.00 9000.00   28.21    0.3100 9000.00000 9000.00000 9000.000
  2690   97.21   16.794  -80.60   13.0    0.9687    0.0997   20.92 9000.00 9000.00   28.11    0.3100 9000.00000 9000.00000 9000.000
  2700   96.50   16.836  -80.90   12.0    0.9685    0.1004   20.98 9000.00 9000.00   28.01    0.3100 9000.00000 9000.00000 9000.000
  2710   95.72   16.881  -81.10   12.0    1.0059    0.1051   21.04 9000.00 9000.00   28.02    0.3200 9000.00000 9000.00000 9000.000
  2720   94.97   16.925  -81.30   12.0    1.0056    0.1059   21.10 9000.00 9000.00   27.92    0.3200 9000.00000 9000.00000 9000.000
  2730   94.25   16.968  -81.50   12.0    1.0057    0.1067   21.16 9000.00 9000.00   27.92    0.3200 9000.00000 9000.00000 9000.000
  2740   93.50   17.013  -81.90   11.0    0.9683    0.1036   21.22 9000.00 9000.00   27.82    0.3100 9000.00000 9000.00000 9000.000
  2750   92.76   17.057  -82.00   11.0    0.9308    0.1003   21.28 9000.00 9000.00   27.73    0.3000 9000.00000 9000.00000 9000.000
  2760   92.03   17.101  -82.00   11.0    0.8937    0.0971   21.34 9000.00 9000.00   27.73    0.2900 9000.00000 9000.00000 9000.000
  2770   91.28   17.147  -81.80   11.0    0.8561    0.0938   21.40 9000.00 9000.00   27.63    0.2800 9000.00000 9000.00000 9000.000
  2780   90.55   17.192  -81.90   11.0    0.9304    0.1028   21.45 9000.00 9000.00   27.53    0.3000 9000.00000 9000.00000 9000.000
  2790   89.86   17.235  -82.20   11.0    0.9305    0.1036   21.51 9000.00 9000.00   27.54    0.3000 9000.00000 9000.00000 9000.000
  2800   89.12   17.281  -82.50   11.0    0.8931    0.1002   21.57 9000.00 9000.00   27.44    0.2900 9000.00000 9000.00000 9000.000
  2810   88.38   17.328  -82.90   11.0    0.8556    0.0968   21.63 9000.00 9000.00   27.34    0.2800 9000.00000 9000.00000 9000.000
  2820   87.70   17.371  -83.20   11.0    0.8557    0.0976   21.68 9000.00 9000.00   27.35    0.2800 9000.00000 9000.00000 9000.000
  2830   86.99   17.416  -83.40   10.0    0.9300    0.1069   21.74 9000.00 9000.00   27.25    0.3000 9000.00000 9000.00000 9000.000
  2840   86.23   17.465  -83.80   10.0    0.9300    0.1078   21.80 9000.00 9000.00   27.25    0.3000 9000.00000 9000.00000 9000.000
  2850   85.54   17.509  -84.30   10.0    0.8926    0.1043   21.86 9000.00 9000.00   27.15    0.2900 9000.00000 9000.00000 9000.000
  2860   84.81   17.556  -84.60   10.0    0.8924    0.1052   21.92 9000.00 9000.00   27.06    0.2900 9000.00000 9000.00000 9000.000
  2870   84.05   17.606  -84.90   10.0    0.8181    0.0973   21.98 9000.00 9000.00   27.06    0.2700 9000.00000 9000.00000 9000.000
  2880   83.40   17.649  -85.20   10.0    0.8551    0.1025   22.03 9000.00 9000.00   26.96    0.2800 9000.00000 9000.00000 9000.000
  2890   82.71   17.694  -85.60   10.0    0.8549    0.1034   22.09 9000.00 9000.00   26.87    0.2800 9000.00000 9000.00000 9000.000
  2900   82.02   17.740  -85.90    9.0    0.8550    0.1042   22.14 9000.00 9000.00   26.87    0.2800 9000.00000 9000.00000 9000.000
  2910   81.30   17.789  -86.30    9.0    0.8176    0.1006   22.20 9000.00 9000.00   26.77    0.2700 9000.00000 9000.00000 9000.000
  2920   80.59   17.837  -86.60    9.0    0.7805    0.0968   22.26 9000.00 9000.00   26.77    0.2600 9000.00000 9000.00000 9000.000
  2930   79.90   17.883  -86.70    9.0    0.8175    0.1023   22.31 9000.00 9000.00   26.68    0.2700 9000.00000 9000.00000 9000.000
  2940   79.21   17.931  -86.10    9.0    0.8176    0.1032   22.37 9000.00 9000.00   26.68    0.2700 9000.00000 9000.00000 9000.000
  2950   78.54   17.978  -85.70    9.0    0.7803    0.0993   22.42 9000.00 9000.00   26.58    0.2600 9000.00000 9000.00000 9000.000
  2960   77.91   18.022  -85.30    9.0    0.7801    0.1001   22.47 9000.00 9000.00   26.49    0.2600 9000.00000 9000.00000 9000.000
  2970   77.28   18.067  -83.40   10.0    0.7799    0.1009   22.52 9000.00 9000.00   26.39    0.2600 9000.00000 9000.00000 9000.000
  2980   76.67   18.111  -81.70   10.0    0.8542    0.1114   22.57 9000.00 9000.00   26.39    0.2800 9000.00000 9000.00000 9000.000
  2990   76.11   18.152  -80.60   10.0    0.9654    0.1268   22.62 9000.00 9000.00   26.29    0.3100 9000.00000 9000.00000 9000.000
  3000   75.50   18.197  -80.50   11.0    1.2254    0.1623   22.69 9000.00 9000.00   26.30    0.3800 9000.00000 9000.00000 9000.000
  3010   74.88   18.244  -80.80   11.0    1.2252    0.1636   22.77 9000.00 9000.00   26.20    0.3800 9000.00000 9000.00000 9000.000
  3020   74.30   18.288  -81.20   10.0    1.2249    0.1649   22.85 9000.00 9000.00   26.10    0.3800 9000.00000 9000.00000 9000.000
  3030   73.66   18.336  -81.30   10.0    1.2989    0.1763   22.94 9000.00 9000.00   26.01    0.4000 9000.00000 9000.00000 9000.000
  3040   73.07   18.381  -81.60   10.0    1.2990    0.1778   23.02 9000.00 9000.00   26.01    0.4000 9000.00000 9000.00000 9000.000
  3050   72.50   18.425  -81.60   10.0    1.3357    0.1842   23.10 9000.00 9000.00   25.91    0.4100 9000.00000 9000.00000 9000.000
  3060   71.90   18.472  -81.60    9.0    1.3359    0.1858   23.19 9000.00 9000.00   25.91    0.4100 9000.00000 9000.00000 9000.000
  3070   71.27   18.521  -81.70    9.0    1.3356    0.1874   23.28 9000.00 9000.00   25.82    0.4100 9000.00000 9000.00000 9000.000
  3080   70.69   18.567  -81.90    9.0    1.3354    0.1889   23.37 9000.00 9000.00   25.72    0.4100 9000.00000 9000.00000 9000.000
  3090   70.08   18.615  -82.10    9.0    1.3725    0.1958   23.46 9000.00 9000.00   25.72    0.4200 9000.00000 9000.00000 9000.000
  3100   69.46   18.665  -82.20    9.0    1.4094    0.2029   23.56 9000.00 9000.00   25.63    0.4300 9000.00000 9000.00000 9000.000
  3110   68.87   18.713  -82.10    9.0    1.4095    0.2047   23.65 9000.00 9000.00   25.63    0.4300 9000.00000 9000.00000 9000.000
  3120   68.25   18.763  -81.90    9.0    1.4834    0.2173   23.75 9000.00 9000.00   25.53    0.4500 9000.00000 9000.00000 9000.000
  3130   67.62   18.815  -81.10    8.0    1.5572    0.2303   23.87 9000.00 9000.00   25.44    0.4700 9000.00000 9000.00000 9000.000
  3140   67.01   18.866  -80.70    9.0    1.6316    0.2435   23.98 9000.00 9000.00   25.44    0.4900 9000.00000 9000.00000 9000.000
  3150   66.39   18.919  -80.50    9.0    1.6683    0.2513   24.10 9000.00 9000.00   25.34    0.5000 9000.00000 9000.00000 9000.000
  3160   65.74   18.974  -80.70    8.0    1.7421    0.2650   24.23 9000.00 9000.00   25.25    0.5200 9000.00000 9000.00000 9000.000
  3170   65.18   19.022  -81.00    8.0    1.7794    0.2730   24.35 9000.00 9000.00   25.25    0.5300 9000.00000 9000.00000 9000.000
  3180   64.58   19.074  -81.40    8.0    1.8160    0.2812   24.48 9000.00 9000.00   25.15    0.5400 9000.00000 9000.00000 9000.000
  3190   63.99   19.126  -81.90    8.0    1.8527    0.2895   24.62 9000.00 9000.00   25.06    0.5500 9000.00000 9000.00000 9000.000
  3200   63.45   19.173  -81.90    8.0    1.8530    0.2920   24.74 9000.00 9000.00   25.06    0.5500 9000.00000 9000.00000 9000.000
  3210   62.87   19.225  -82.00    7.0    1.8896    0.3006   24.88 9000.00 9000.00   24.96    0.5600 9000.00000 9000.00000 9000.000
  3220   62.32   19.274  -82.30    7.0    1.8892    0.3031   25.01 9000.00 9000.00   24.86    0.5600 9000.00000 9000.00000 9000.000
  3230   61.81   19.320  -82.70    7.0    1.9264    0.3117   25.13 9000.00 9000.00   24.87    0.5700 9000.00000 9000.00000 9000.000
  3240   61.28   19.368  -83.00    7.0    1.9260    0.3143   25.26 9000.00 9000.00   24.77    0.5700 9000.00000 9000.00000 9000.000
  3250   60.79   19.412  -83.30    7.0    1.9262    0.3169   25.38 9000.00 9000.00   24.77    0.5700 9000.00000 9000.00000 9000.000
  3260   60.33   19.454  -83.10    7.0    1.9629    0.3254   25.50 9000.00 9000.00   24.68    0.5800 9000.00000 9000.00000 9000.000
  3270   59.85   19.499  -82.30    7.0    2.0371    0.3404   25.63 9000.00 9000.00   24.68    0.6000 9000.00000 9000.00000 9000.000
  3280   59.38   19.543  -80.80    7.0    2.1478    0.3617   25.76 9000.00 9000.00   24.58    0.6300 9000.00000 9000.00000 9000.000
  3290   58.90   19.589  -79.90    7.0    2.2583    0.3834   25.90 9000.00 9000.00   24.48    0.6600 9000.00000 9000.00000 9000.000
  3300   58.45   19.632  -79.40    7.0    2.2956    0.3928   26.04 9000.00 9000.00   24.49    0.6700 9000.00000 9000.00000 9000.000
  3310   57.98   19.678  -78.60    7.0    2.4062    0.4150   26.19 9000.00 9000.00   24.39    0.7000 9000.00000 9000.00000 9000.000
  3320   57.51   19.725  -77.70    7.0    2.5546    0.4442   26.35 9000.00 9000.00   24.39    0.7400 9000.00000 9000.00000 9000.000
  3330   57.03   19.773  -76.50    7.0    2.7392    0.4803   26.52 9000.00 9000.00   24.30    0.7900 9000.00000 9000.00000 9000.000
  3340   56.57   19.820  -74.80    7.0    2.9236    0.5168   26.70 9000.00 9000.00   24.20    0.8400 9000.00000 9000.00000 9000.000
  3350   56.10   19.868  -73.30    8.0    3.0719    0.5476   26.90 9000.00 9000.00   24.20    0.8800 9000.00000 9000.00000 9000.000
  3360   55.65   19.915  -73.10    7.0    3.1822    0.5718   27.10 9000.00 9000.00   24.10    0.9100 9000.00000 9000.00000 9000.000
  3370   55.22   19.961  -73.10    7.0    3.3307    0.6032   27.30 9000.00 9000.00   24.11    0.9500 9000.00000 9000.00000 9000.000
  3380   54.77   20.009  -72.40    7.0    3.4409    0.6283   27.52 9000.00 9000.00   24.01    0.9800 9000.00000 9000.00000 9000.000
  3390   54.34   20.055  -71.80    6.0    3.5524    0.6537   27.73 9000.00 9000.00   24.01    1.0100 9000.00000 9000.00000 9000.000
  3400   53.94   20.099  -71.20    6.0    3.7365    0.6927   27.95 9000.00 9000.00   23.91    1.0600 9000.00000 9000.00000 9000.000
  3410   53.52   20.145  -70.40    6.0    3.8480    0.7190   28.18 9000.00 9000.00   23.92    1.0900 9000.00000 9000.00000 9000.000
  3420   53.11   20.191  -69.40    5.0    4.1061    0.7731   28.42 9000.00 9000.00   23.82    1.1600 9000.00000 9000.00000 9000.000
  3430   52.73   20.234  -67.80    5.0    4.2915    0.8139   28.66 9000.00 9000.00   23.82    1.2100 9000.00000 9000.00000 9000.000
  3440   52.37   20.275  -65.60    5.0    4.6233    0.8828   28.90 9000.00 9000.00   23.72    1.3000 9000.00000 9000.00000 9000.000
  3450   51.98   20.321  -63.70    5.0    5.1788    0.9963   29.19 9000.00 9000.00   23.73    1.4500 9000.00000 9000.00000 9000.000
  3460   51.61   20.365  -60.20    4.0    5.8803    1.1394   29.50 9000.00 9000.00   23.63    1.6400 9000.00000 9000.00000 9000.000
  3470   51.22   20.413  -56.80    4.0    6.6924    1.3066   29.88 9000.00 9000.00   23.53    1.8600 9000.00000 9000.00000 9000.000
  3480   50.74   20.473  -53.90    3.0    7.7290    1.5232   30.42 9000.00 9000.00   23.54    2.1400 9000.00000 9000.00000 9000.000
  3490   50.45   20.510  -53.20    2.0    8.2843    1.6421   30.78 9000.00 9000.00   23.54    2.2900 9000.00000 9000.00000 9000.000
  3500   49.74   20.601  -51.70    1.0    9.5035    1.9106   31.77 9000.00 9000.00   23.44    2.6200 9000.00000 9000.00000 9000.000
  3510   49.50   20.632  -51.20    1.0    9.9850    2.0172   32.15 9000.00 9000.00   23.44    2.7500 9000.00000 9000.00000 9000.000
  3520   48.75   20.732  -50.10    2.0   10.5758    2.1694   33.38 9000.00 9000.00   23.35    2.9100 9000.00000 9000.00000 9000.000
  3530   48.66   20.744  -50.30    1.0   11.0162    2.2639   33.54 9000.00 9000.00   23.25    3.0300 9000.00000 9000.00000 9000.000
  3540   48.35   20.786  -50.10    1.0   11.2760    2.3322   34.10 9000.00 9000.00   23.25    3.1000 9000.00000 9000.00000 9000.000
  3550   47.99   20.834  -50.50    1.0   11.4587    2.3877   34.78 9000.00 9000.00   23.16    3.1500 9000.00000 9000.00000 9000.000
  3560   47.61   20.886  -51.00 9000.0   11.7187    2.4614   35.50 9000.00 9000.00   23.16    3.2200 9000.00000 9000.00000 9000.000
  3570   47.35   20.922  -51.00 9000.0   11.7157    2.4743   36.01 9000.00 9000.00   23.06    3.2200 9000.00000 9000.00000 9000.000
  3580   46.67   21.016  -51.10    1.0   11.8662    2.5426   37.36 9000.00 9000.00   23.06    3.2600 9000.00000 9000.00000 9000.000
  3590   46.28   21.070  -50.70 9000.0   12.0900    2.6123   38.15 9000.00 9000.00   23.07    3.3200 9000.00000 9000.00000 9000.000
  3610   45.45   21.188  -51.30 9000.0   12.0892    2.6599   39.88 9000.00 9000.00   22.97    3.3200 9000.00000 9000.00000 9000.000
  3620   45.52   21.178  -51.40 9000.0   12.5653    2.7604   39.73 9000.00 9000.00   22.87    3.4500 9000.00000 9000.00000 9000.000
  3630   45.16   21.230  -51.30 9000.0   12.2674    2.7164   40.51 9000.00 9000.00   22.78    3.3700 9000.00000 9000.00000 9000.000
  3640   44.78   21.285  -51.70 9000.0   12.4537    2.7811   41.33 9000.00 9000.00   22.78    3.4200 9000.00000 9000.00000 9000.000
  3650   44.44   21.334  -51.70 9000.0   12.6031    2.8360   42.09 9000.00 9000.00   22.78    3.4600 9000.00000 9000.00000 9000.000
  3660   44.14   21.378  -51.30 9000.0   12.7479    2.8881   42.76 9000.00 9000.00   22.68    3.5000 9000.00000 9000.00000 9000.000
  3670   43.97   21.403  -51.30    1.0   12.4535    2.8323   43.15 9000.00 9000.00   22.69    3.4200 9000.00000 9000.00000 9000.000
  3680   43.36   21.493  -52.50 9000.0   12.5998    2.9059   44.53 9000.00 9000.00   22.59    3.4600 9000.00000 9000.00000 9000.000
  3690   43.14   21.526  -52.90 9000.0   12.7856    2.9637   45.04 9000.00 9000.00   22.59    3.5100 9000.00000 9000.00000 9000.000
  3700   42.88   21.565  -53.10 9000.0   12.7129    2.9648   45.65 9000.00 9000.00   22.59    3.4900 9000.00000 9000.00000 9000.000
  3710   42.53   21.618  -53.50 9000.0   12.5999    2.9626   46.47 9000.00 9000.00   22.50    3.4600 9000.00000 9000.00000 9000.000
  3720   42.24   21.662  -53.70 9000.0   12.6382    2.9920   47.15 9000.00 9000.00   22.50    3.4700 9000.00000 9000.00000 9000.000
  3730   41.94   21.708  -54.00 9000.0   12.5245    2.9863   47.86 9000.00 9000.00   22.40    3.4400 9000.00000 9000.00000 9000.000
  3740   41.63   21.755  -54.20 9000.0   12.5261    3.0089   48.59 9000.00 9000.00   22.40    3.4400 9000.00000 9000.00000 9000.000
  3750   41.30   21.806  -54.60 9000.0   12.4500    3.0145   49.37 9000.00 9000.00   22.31    3.4200 9000.00000 9000.00000 9000.000
  3760   41.01   21.851  -55.00 9000.0   12.4145    3.0272   50.07 9000.00 9000.00   22.31    3.4100 9000.00000 9000.00000 9000.000
  3770   40.71   21.898  -54.90 9000.0   12.3749    3.0398   50.79 9000.00 9000.00   22.21    3.4000 9000.00000 9000.00000 9000.000
  3780   40.40   21.947  -54.10 9000.0   12.5981    3.1183   51.54 9000.00 9000.00   22.21    3.4600 9000.00000 9000.00000 9000.000
  3790   40.11   21.993  -53.60 9000.0   12.8173    3.1955   52.26 9000.00 9000.00   22.12    3.5200 9000.00000 9000.00000 9000.000
  3800   39.79   22.045  -53.40 9000.0   12.9300    3.2495   53.08 9000.00 9000.00   22.12    3.5500 9000.00000 9000.00000 9000.000
  3810   39.47   22.097  -53.70 9000.0   12.8904    3.2659   53.90 9000.00 9000.00   22.02    3.5400 9000.00000 9000.00000 9000.000
  3820   39.17   22.146  -53.90 9000.0   13.0033    3.3197   54.68 9000.00 9000.00   22.03    3.5700 9000.00000 9000.00000 9000.000
